"University","PMCID","PMID","DOI","Publisher","Journal title","ISSN","Article title","Total cost of Article Processing Charge (APC), in £","Amount of APC charged to Wellcome OA grant, in £ (see comment)","VAT charged","COST (£)","Wellcome grant","Licence info","Notes","Fulltext in EPMC?","XML Fulltext?","AAM?","Open Access?","Licence","Licence Source","Journal Type","Correct Article Confidence","Standard Compliance?","Deluxe Compliance?","Compliance Processing Ouptut",
,"PMC3652708",23741086,"10.1177/0952695112473619","Sage","History of the Human Sciences","0952-6951, 1461-720X","Making the cut: the production of 'self-harm' in post-1945 Anglo-Saxon psychiatry",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3652708 to PMC3652708

[2016-05-20T11:39:49Z importer] normalised DOI 10.1177/0952695112473619 to 10.1177/0952695112473619

[2016-05-20T11:40:03Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:03Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:03Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by/2.0/ which gives us licence type cc-by

[2016-05-20T11:40:04Z processor] Journal with ISSN 0952-6951,1461-720X was not found in DOAJ; assuming Hybrid",
,"PMC3757918",24014081,"10.1177/0952695113484320","Sage","History of the Human Sciences","0952-6951, 1461-720X","How autism became autism: the radical transformation of a central concept of child development in Britain",,,,,,,,"True","False","unknown","False","cc-by-nc","publisher","hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3757918 to PMC3757918

[2016-05-20T11:39:49Z importer] normalised DOI 10.1177/0952695113484320 to 10.1177/0952695113484320

[2016-05-20T11:40:04Z processor] Journal with ISSN 0952-6951,1461-720X was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:30Z oag] PMC3757918 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.1177/0952695113484320 - License decided by scraping the resource at http://hhs.sagepub.com/content/26/3/3 and looking for the following license statement: ""This article is distributed under the terms of the Creative Commons Attribution-Non Commercial 3.0 License (http://www.creativecommons.org/licenses/by-nc/3.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified"".",
,"PMC4538784",26290618,"10.1177/0265691413479085","Sage","European History Quarterly","0265-6914","Images and Meaning - Making in a World of Resemblance: The Bavarian-Saxon Kidney Stone Affair of 1580.",,,,,,,,"True","False","unknown","False","cc-by","publisher","hybrid",0.9,"True","False","[2016-05-20T11:39:49Z importer] PMCID not available was syntactically invalid, so ignoring

[2016-05-20T11:39:49Z importer] normalised DOI 10.1177/0265691413479085 to 10.1177/0265691413479085

[2016-05-20T11:40:04Z processor] 0 metadata records found for DOI 10.1177/0265691413479085 - unable to uniquely identify by this identifier

[2016-05-20T11:40:04Z processor] Journal with ISSN 0265-6914 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:29Z oag] PMC4538784 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.1177/0265691413479085 - License decided by scraping the resource at http://ehq.sagepub.com/content/43/2/205 and looking for the following license statement: ""This article is distributed under the terms of the Creative Commons Attribution 3.0 License (http://www.creativecommons.org/licenses/by/3.0/) which permits any use, reproduction and distribution of the work without further permission provided the original work is attributed as specified"".",
,"PMC3865968",24069913,"10.1017/mdh.2013.63","Cambridge University Press","Medical History","0025-7273, 2048-8343","International health and the limits of its global influence: Bhutan and the worldwide smallpox eradication",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3865968 to PMC3865968

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/mdh.2013.63 to 10.1017/mdh.2013.63

[2016-05-20T11:40:04Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:04Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:04Z processor] Fulltext XML licence description contains the licence text http://creativecommons.org/licenses/by which gives us licence type cc-by

[2016-05-20T11:40:04Z processor] Journal with ISSN 0025-7273,2048-8343 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:56:52Z processor] This record's PMCID is a duplicate of another in the same upload.  Compliance results should therefore be reviewed carefully, in case this indicates an erroneous set of identifiers

[2016-05-20T11:56:53Z processor] This record's PMID is a duplicate of another in the same upload.  Compliance results should therefore be reviewed carefully, in case this indicates an erroneous set of identifiers

[2016-05-20T11:56:55Z processor] This record's DOI is a duplicate of another in the same upload.  Compliance results should therefore be reviewed carefully, in case this indicates an erroneous set of identifiers",
,"PMC3542187",23326615,"10.1017/mdh.2013.17","Cambridge University Press","Medical History","1935-2727, 1935-2735","The Research Council System and The Politics of Medical and Agricultural Research for the British Colonial Empire 1940-1952",,,,,,,,"True","True","False","True","cc-by","epmc_xml","oa",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3542187 to PMC3542187

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/mdh.2013.17 to 10.1017/mdh.2013.17

[2016-05-20T11:40:05Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:05Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:05Z processor] Fulltext XML licence description contains the licence text Creative Commons Attribution which gives us licence type cc-by

[2016-05-20T11:40:05Z processor] Journal with ISSN 1935-2727,1935-2735 was found in DOAJ; assuming OA

[2016-05-20T11:56:53Z processor] This record's PMCID is a duplicate of another in the same upload.  Compliance results should therefore be reviewed carefully, in case this indicates an erroneous set of identifiers

[2016-05-20T11:56:54Z processor] This record's PMID is a duplicate of another in the same upload.  Compliance results should therefore be reviewed carefully, in case this indicates an erroneous set of identifiers",
,"PMC3865946",24069886,"10.1017/mdh.2013.20","Cambridge University Press","Medical History","0025-7273, 2048-8343","A Textbook Pattern? Malarai Eradication and Control, Jamaica 1910-1965",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3865946 to PMC3865946

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/mdh.2013.20 to 10.1017/mdh.2013.20

[2016-05-20T11:40:05Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:05Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:05Z processor] Fulltext XML licence description contains the licence text http://creativecommons.org/licenses/by which gives us licence type cc-by

[2016-05-20T11:40:05Z processor] Journal with ISSN 0025-7273,2048-8343 was not found in DOAJ; assuming Hybrid",
,"PMC3483757",23112383,"10.1017/mdh.2012.30","Cambridge University Press","Medical History","0025-7273, 2048-8343","Mrs Killer and Dr Crook: birth attendants and birth outcomes in early twentieth century Derbyshire",,,,,,,,"True","True","False","True","unknown",,"hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3483757 to PMC3483757

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/mdh.2012.30 to 10.1017/mdh.2012.30

[2016-05-20T11:40:05Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:05Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:05Z processor] Journal with ISSN 0025-7273,2048-8343 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:30Z oag] PMC3483757 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.1017/mdh.2012.30 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:58:26Z oag] 23112383 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown",
,"PMC3566749",23393403,"10.1017/mdh.2012.81","Cambridge University Press","Medical History","0025-7273, 2048-8343","I've Never Found Doctors to be a Difficult Bunch': Doctors, Managers and NHS Reorganisations in Manchester and Salford, 1948-2007",,,,,,,,"True","True","False","True","cc-by","publisher","hybrid",1,"True","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3566749 to PMC3566749

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/mdh.2012.81 to 10.1017/mdh.2012.81

[2016-05-20T11:40:05Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:05Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:05Z processor] Journal with ISSN 0025-7273,2048-8343 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:29Z oag] PMC3566749 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.1017/mdh.2012.81 - License decided by scraping the resource at http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=8825399&fileId=S0025727312000816 and looking for the following license statement: ""Published by Cambridge University Press. The online version of this article is published within an Open Access environment subject to the conditions of the Creative Commons Attribution licence &lt;http://creativecommons.org/licenses/by/3.0/&gt;."".",
,"PMC3606566",23519796,"10.1107/S1744309113002352","International Union of Crystallography","Acta Crystallographica F","1744-3091","Structure of Pseudomonas aeruginosa inosine 5'-monophosphate dehydrogenase",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3606566 to PMC3606566

[2016-05-20T11:39:49Z importer] normalised DOI 10.1107/S1744309113002352 to 10.1107/S1744309113002352

[2016-05-20T11:40:06Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:06Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:06Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by/2.0/uk/ which gives us licence type cc-by

[2016-05-20T11:40:06Z processor] Journal with ISSN 1744-3091 was not found in DOAJ; assuming Hybrid",
,"PMC3668577",23722836,"10.1107/S174430911301292X","International Union of Crystallography","Acta Crystallographica F","1744-3091","Structure of diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase from Acinetobacter baumannii.",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3668577 to PMC3668577

[2016-05-20T11:39:49Z importer] normalised DOI 10.1107/S174430911301292X to 10.1107/S174430911301292X

[2016-05-20T11:40:06Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:06Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:06Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by/2.0/uk/ which gives us licence type cc-by

[2016-05-20T11:40:06Z processor] Journal with ISSN 1744-3091 was not found in DOAJ; assuming Hybrid",
,"PMC3977578",23072351,"10.1021/ac302223s","American Chemical Society","Analytical Chemistry","0003-2700, 1520-6882","Amphipathic polymers facilitate the study of functional membrane in the gas phase",,,,,,,,"True","True","False","True","unknown",,"hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] PMCID none was syntactically invalid, so ignoring

[2016-05-20T11:39:49Z importer] normalised PMID 23072351 to 23072351

[2016-05-20T11:39:49Z importer] normalised DOI 10.1021/ac302223s to 10.1021/ac302223s

[2016-05-20T11:40:06Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:06Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:06Z processor] Journal with ISSN 0003-2700,1520-6882 was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:30Z oag] PMC3977578 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 10.1021/ac302223s - identifier has permanent errors - please contact us and let us know: Record has no provider, so unable to look for licence

[2016-05-20T11:58:26Z oag] 23072351 - identifier has permanent errors - please contact us and let us know: Record has no provider, so unable to look for licence",
,"PMC3374517",22691792,"10.1107/S1744309112010330","International Union of Crystallography","Acta Crystallographica F","1744-3091","Crystallization and preliminary crystallographic analysis of the major capsid proteins VP16 and VP17 of bacteriophage P23-77",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3374517 to PMC3374517

[2016-05-20T11:39:49Z importer] normalised DOI 10.1107/S1744309112010330 to 10.1107/S1744309112010330

[2016-05-20T11:40:06Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:06Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:06Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by/2.0/uk/ which gives us licence type cc-by

[2016-05-20T11:40:06Z processor] Journal with ISSN 1744-3091 was not found in DOAJ; assuming Hybrid",
,"PMC4541552",26321761,"10.1017/S0001972013000442","Cambridge University Press","Africa: Journal of the International African Institute","0001-9720","Stuck in ruins, or up and coming?",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",0.7,"True","True","[2016-05-20T11:39:49Z importer] PMCID none was syntactically invalid, so ignoring

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/S0001972013000442 to 10.1017/S0001972013000442

[2016-05-20T11:40:06Z processor] 0 metadata records found for DOI 10.1017/S0001972013000442 - unable to uniquely identify by this identifier

[2016-05-20T11:40:07Z processor] Received error from EPMC on request for exact title

[2016-05-20T11:40:07Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:07Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:07Z processor] Fulltext XML licence description contains the licence text http://creativecommons.org/licenses/by which gives us licence type cc-by

[2016-05-20T11:40:07Z processor] Journal with ISSN 0001-9720 was not found in DOAJ; assuming Hybrid",
,"PMC4541553",26321762,"10.1017/S0001972013000454","Cambridge University Press","Africa: Journal of the International African Institute","0001-9720","Pharmacy, money and public health in Dakar.",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",0.9,"True","True","[2016-05-20T11:39:49Z importer] PMCID none was syntactically invalid, so ignoring

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/S0001972013000454 to 10.1017/S0001972013000454

[2016-05-20T11:40:07Z processor] 0 metadata records found for DOI 10.1017/S0001972013000454 - unable to uniquely identify by this identifier

[2016-05-20T11:40:08Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:08Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:08Z processor] Fulltext XML licence description contains the licence text http://creativecommons.org/licenses/by which gives us licence type cc-by

[2016-05-20T11:40:08Z processor] Journal with ISSN 0001-9720 was not found in DOAJ; assuming Hybrid",
,,,"10.1017/S0001972013000478","Cambridge University Press","Africa: Journal of the International African Institute",,"Tarmacking in the milleninum city: spatial and temporal tralectories of empowerment in Kenya.",,,,,,,,,,"unknown",,"unknown",,,,"False","False","[2016-05-20T11:39:49Z importer] PMCID none was syntactically invalid, so ignoring

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/S0001972013000478 to 10.1017/S0001972013000478

[2016-05-20T11:40:08Z processor] 0 metadata records found for DOI 10.1017/S0001972013000478 - unable to uniquely identify by this identifier

[2016-05-20T11:40:08Z processor] 0 metadata records found for exact title match - unable to uniquely identify by this string

[2016-05-20T11:40:09Z processor] 0 metadata records found for fuzzy title match - unable to uniquely identify by this method

[2016-05-20T11:40:09Z processor] EPMC metadata not found by any means available

[2016-05-20T11:40:09Z processor] unable to locate any metadata record in EPMC for the combination of identifiers/title; giving up",
,"PMC3948080",23158229,"10.1017/S1355617712000768","Cambridge University Press","Africa: Journal of the International African Institute","1355-6177, 1469-7661","Effects of Maternal Worm Infections and Anthelminthic Treatment during Pregnancy on Infant Motor and Neurocognitive Functioning",,,,,,,,"True","True","False","True","cc-by-nc-sa","epmc_xml","hybrid",1,"False","False","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3948080 to PMC3948080

[2016-05-20T11:39:49Z importer] normalised PMID 23158229 to 23158229

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/S1355617712000768 to 10.1017/S1355617712000768

[2016-05-20T11:40:09Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:09Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:09Z processor] Fulltext XML licence description contains the licence text http://creativecommons.org/licenses/by-nc-sa which gives us licence type cc-by-nc-sa

[2016-05-20T11:40:09Z processor] Journal with ISSN 1355-6177,1469-7661 was not found in DOAJ; assuming Hybrid",
,,24941737,"10.1017/S0007087413000332","Cambridge University Press","British Journal for the History of Science","0007-0874, 1474-001X","Writing, printing, speaking: Rhesus blood-group genetics and nomenclatures in the mid-twentieth century",,,,,,,,"False","False","unknown",,"unknown",,"hybrid",0.9,"False","False","[2016-05-20T11:39:49Z importer] PMCID none was syntactically invalid, so ignoring

[2016-05-20T11:39:49Z importer] PMID none was syntactically invalid, so ignoring

[2016-05-20T11:39:49Z importer] normalised DOI 10.1017/S0007087413000332 to 10.1017/S0007087413000332

[2016-05-20T11:40:09Z processor] 0 metadata records found for DOI 10.1017/S0007087413000332 - unable to uniquely identify by this identifier

[2016-05-20T11:40:10Z processor] Journal with ISSN 0007-0874,1474-001X was not found in DOAJ; assuming Hybrid

[2016-05-20T11:57:30Z oag] 10.1017/S0007087413000332 - a plugin ran and failed to detect a license for this record.  This entry records that the license is therefore unknown

[2016-05-20T11:57:54Z oag] 24941737 - identifier has permanent errors - please contact us and let us know: Record has no provider, so unable to look for licence",
,"PMC3930469",23467898,"10.1177/1363459313476966","Sage","Health: An Interdisciplinary Journal for the Social Study of Health, Illness and Medicine","1363-4593, 1461-7196","Re-valuing donor and recipient bodies in the globalised blood economy: transitions in public policy on blood safety in the UK",,,,,,,,"True","True","False","True","cc-by","epmc_xml","hybrid",1,"True","True","[2016-05-20T11:39:49Z importer] normalised PMCID PMC3930469 to PMC3930469

[2016-05-20T11:39:49Z importer] normalised DOI 10.1177/1363459313476966 to 10.1177/1363459313476966

[2016-05-20T11:40:11Z processor] Found fulltext XML in EPMC

[2016-05-20T11:40:11Z processor] AAM status set from Fulltext XML

[2016-05-20T11:40:11Z processor] Fulltext XML specifies licence url as http://creativecommons.org/licenses/by/3.0/ which gives us licence type cc-by

[2016-05-20T11:40:11Z processor] Journal with ISSN 1363-4593,1461-7196 was not found in DOAJ; assuming Hybrid",
