Row #,apc_2012_2013_results.csv PMCID,processed_apc_2012_2013.csv PMCID,apc_2012_2013_results.csv PMID,processed_apc_2012_2013.csv PMID,apc_2012_2013_results.csv DOI,processed_apc_2012_2013.csv DOI,apc_2012_2013_results.csv Article title,processed_apc_2012_2013.csv Article title
138,PMC3173209,PMC3630886,21757710,23386609,10.1074/jbc.m111.219212,10.1074/jbc.M112.438481,The T cell receptor triggering apparatus is composed of monovalent or monomeric proteins.,The Sec7 Guanine Nucleotide Exchange Factor GBF1 Regulates Membrane Recruitment of BIG1 and BIG2 Guanine Nucleotide Exchange Factors to the Trans-Golgi Network (TGN).
140,PMC3531748,PMC3173209,23148209,21757710,10.1074/jbc.m112.428987,10.1074/jbc.M111.219212,"Uncoupling proteostasis and development in vitro with a small molecule inhibitor of the pancreatic endoplasmic reticulum kinase, PERK",The T-cel receptor triggering apparatus is composed of monovalent or monomeric proteins
141,PMC3522294,PMC3531748,23048031,23148209,10.1074/jbc.m112.392746,10.1074/jbc.M112.428987,Transcription Factor Positive Regulatory Domain 4 (PRDM4) recruits Protein Arginine Methyltransferase 5 (PRMT5) to mediate histone arginine methylation and control neural stem cell proliferation and differentiation,"Uncoupling proteostasis and development in vitro with a small molecule inhibitor of the pancreatic endoplasmic reticulum kinase, PERK"
142,PMC3583845,PMC3522294,23118027,23048031,10.1096/fj.12-209445,10.1074/jbc.M112.392746,"Designing a theory-informed, contextually appropriate intervention strategy to improve delivery of pediatric services in Kenyan hospitals.",Transcription Factor Positive Regulatory Domain 4 (PRDM4) recruits Protein Arginine Methyltransferase 5 (PRMT5) to mediate histone arginine methylation and control neural stem cell proliferation and differentiation
143,PMC3607463,PMC3583845,22889187,23118027,10.1037/a0029717,10.1096/fj.12-209445,Collective enumeration,"Designing a theory-informed, contextually appropriate intervention strategy to improve delivery of pediatric services in Kenyan hospitals."
144,PMC3725889,PMC3607463,23713796,22889187,10.1037/a0033037,10.1037/a0029717,Dissociable Roles of Different Types of Working Memory Load in Visual Detection,Collective enumeration
145,PMC3759847,PMC3725889,23850620,23713796,10.1016/j.bbrc.2013.07.006,10.1037/a0033037,Differential COX-2 induction by viral and bacterial PAMPs: consequences for cytokine and interferon responses and implications for anti-viral COX-2 directed therapies,Dissociable Roles of Different Types of Working Memory Load in Visual Detection
146,PMC3821636,PMC3759847,24132152,23850620,10.3390/ijms141020658,10.1016/j.bbrc.2013.07.006,Absolute Quantification of selected proteins in the Human Osteoarthritic Secretome,Differential COX-2 induction by viral and bacterial PAMPs: consequences for cytokine and interferon responses and implications for anti-viral COX-2 directed therapies
147,PMC3516067,PMC3821636,23091194,24132152,10.4269/ajtmh.2012.12-0215,10.3390/ijms141020658,Use of Rapid Diagnostic Tests in Malaria School Surveys in Kenya: Does their Under-performance Matter for Planning Malaria Control?,Absolute Quantification of selected proteins in the Human Osteoarthritic Secretome
148,PMC3570299,PMC3516067,23013243,23091194,10.1186/1471-2350-13-90,10.4269/ajtmh.2012.12-0215,Maternal and offspring fasting glucose and type 2 diabetes-associated genetic variants and cognitive function at age 8: a Mendelian randomization study in the Avon Longitudinal Study of Parents and Children,Use of Rapid Diagnostic Tests in Malaria School Surveys in Kenya: Does their Under-performance Matter for Planning Malaria Control?
149,PMC3866796,PMC3570299,24019420,23013243,10.1542/peds.2012-3986,10.1186/1471-2350-13-90,Vitamin d3 supplementation and childhood diarrhea: a randomized controlled trial.,Maternal and offspring fasting glucose and type 2 diabetes-associated genetic variants and cognitive function at age 8: a Mendelian randomization study in the Avon Longitudinal Study of Parents and Children
150,PMC3811480,PMC3866796,23856774,24019420,10.1128/aac.00722-13,10.1542/peds.2012-3986,The R Enantiomer of the Antitubercular Drug PA-824 as a Potential Oral Treatment for Visceral Leishmaniasis,Vitamin d3 supplementation and childhood diarrhea: a randomized controlled trial.
151,PMC3553740,PMC3811480,23208716,23856774,10.1128/aac.01788-12,10.1128/AAC.00722-13,Assessing the Essentiality of Leishmania donovani Nitroreductase and Its Role in Nitro Drug Activation,The R Enantiomer of the Antitubercular Drug PA-824 as a Potential Oral Treatment for Visceral Leishmaniasis
152,PMC3697379,PMC3553740,23571538,23208716,10.1128/aac.02398-12,10.1128/AAC.01788-12,Comparison of a high-throughput high-content intracellular Leishmania donovani assay with an axenic amastigote assay,Assessing the Essentiality of Leishmania donovani Nitroreductase and Its Role in Nitro Drug Activation
153,PMC3754341,PMC3697379,23817378,23571538,10.1128/aac.00742-13,10.1128/AAC.02398-12,Immunoactivating peptide P4 augments alveolar macrophage phagocytosis in two diverse human populations,Comparison of a high-throughput high-content intracellular Leishmania donovani assay with an axenic amastigote assay
154,PMC3535899,PMC3754341,23089748,23817378,10.1128/aac.01486-12,10.1128/AAC.00742-13,Elevated chitin content reduces the susceptibility of Candida species to caspofungin,Immunoactivating peptide P4 augments alveolar macrophage phagocytosis in two diverse human populations
155,PMC3811416,PMC3535899,23877697,23089748,10.1128/aac.00508-13,10.1128/AAC.01486-12,Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA,Elevated chitin content reduces the susceptibility of Candida species to caspofungin
156,PMC3675966,PMC3811416,23576675,23877697,10.1128/cvi.00582-12,10.1128/AAC.00508-13,The Alveolar Microenvironment of patients infected with Human immunodeficiency virus does not modify alveolar macrophage interactions with Streptococcus pneumoniae,Cyclic AMP effectors in African Trypanosomes revealed by genome-scale RNA interference library screening for resistance to the phospphodiesterase inhibitor CpdA
157,PMC3697472,PMC3675966,23650087,23576675,10.1128/ec.00040-13,10.1128/CVI.00582-12,"Discovery of a sexual cycle in Aspergillus lentulus, a close relative of A. fumigatus.",The Alveolar Microenvironment of patients infected with Human immunodeficiency virus does not modify alveolar macrophage interactions with Streptococcus pneumoniae
158,PMC3571300,PMC3697472,23264644,23650087,10.1128/ec.00273-12,10.1128/EC.00040-13,Evidence for recycling of invariant surface trans-membrane domain proteins in African trypanosomes,"Discovery of a sexual cycle in Aspergillus lentulus, a close relative of A. fumigatus."
159,PMC3536122,PMC3571300,23115042,23264644,10.1128/iai.01092-12,10.1128/EC.00273-12,"Growth of Candida albicans celles on the physiologically relevent carbon source, lactate, affects their recognition and phagocytosis by immune cells",Evidence for recycling of invariant surface trans-membrane domain proteins in African trypanosomes
160,PMC3534503,PMC3536122,23126555,23115042,10.1186/1471-2377-12-135,10.1128/IAI.01092-12,Risk of fractures in patients with multiple sclerosis: record-linkage study,"Growth of Candida albicans celles on the physiologically relevent carbon source, lactate, affects their recognition and phagocytosis by immune cells"
161,PMC3685328,PMC3534503,23697932,23126555,10.1042/bst20130028,10.1186/1471-2377-12-135,"ZF-CxxC domain-containing proteins, CpG islands and the chromatin connection",Risk of fractures in patients with multiple sclerosis: record-linkage study
162,PMC3601848,PMC3685328,23322746,23697932,10.1093/protein/gzs104,10.1042/BST20130028,Evaluating the use of Apo-neocarzinostatin as a cell penetrating protein.,"ZF-CxxC domain-containing proteins, CpG islands and the chromatin connection"
163,PMC3569044,PMC3601848,23244291,23322746,10.1037/a0031216,10.1093/protein/gzs104,The Neural Basis of Nonvisual Object Recognition,Evaluating the use of Apo-neocarzinostatin as a cell penetrating protein.
164,PMC3754575,PMC3569044,23772065,23244291,10.1128/jb.00473-13,10.1037/a0031216,The agr locus sregulates virulence and colonization genes in clostridium difficile 027,The Neural Basis of Nonvisual Object Recognition
165,PMC3415497,PMC3754575,22753058,23772065,10.1128/jb.00957-12,10.1128/JB.00473-13,"THE ESCHERICHIA COLI SMC COMPLEX, MUKBEF, SHAPES NUCLEOID ORGANISATION INDEPENDENTLY DNA REPLICATION",The agr locus sregulates virulence and colonization genes in clostridium difficile 027
166,PMC3421817,PMC3415497,22785191,22753058,10.1128/jcm.01312-12,10.1128/JB.00957-12,Resolution of a meningococcal disease outbreak from whole-genome sequence data with rapid web-based analysis methods,"THE ESCHERICHIA COLI SMC COMPLEX, MUKBEF, SHAPES NUCLEOID ORGANISATION INDEPENDENTLY DNA REPLICATION"
167,PMC3697714,PMC3421817,23637300,22785191,10.1128/jcm.00622-13,10.1128/JCM.01312-12,Development and evaluation of a next-generation digital PCR diagnostic assay for ocular chlamydia trachomatis infections.,Resolution of a meningococcal disease outbreak from whole-genome sequence data with rapid web-based analysis methods
168,PMC3697654,PMC3697714,23678061,23637300,10.1128/jcm.00330-13,10.1128/JCM.00622-13,Evaluation of Xpert MTB/RIF for the detection of TB from blood of HIV2-infected adults confirms MTB-bacteremia as indicator of poor prognosis,Development and evaluation of a next-generation digital PCR diagnostic assay for ocular chlamydia trachomatis infections.
169,PMC3697669,PMC3697654,23616448,23678061,10.1128/jcm.00679-13,10.1128/JCM.00330-13,Molecular Analysis of an Outbreak of Lethal Postpartum Sepsis Caused by Streptococcus pyogenes [Lethal Streptococcus pyogenes post-partum sepsis: Molecular analysis of an outbreak],Evaluation of Xpert MTB/RIF for the detection of TB from blood of HIV2-infected adults confirms MTB-bacteremia as indicator of poor prognosis
170,PMC3457148,PMC3697669,22875964,23616448,10.1128/jvi.01555-12,10.1128/JCM.00679-13,"Structure, function and evolution of the Crimean-C ongo hemorrhagic fever virus nucleocapsid protein",Molecular Analysis of an Outbreak of Lethal Postpartum Sepsis Caused by Streptococcus pyogenes [Lethal Streptococcus pyogenes post-partum sepsis: Molecular analysis of an outbreak]
171,PMC3807333,PMC3457148,23966406,22875964,10.1128/jvi.01924-13,10.1128/JVI.01555-12,The human adenovirus type 5 L4 promoter is activated by cellular stress response protein p53,"Structure, function and evolution of the Crimean-C ongo hemorrhagic fever virus nucleocapsid protein"
172,PMC3554137,PMC3807333,23152534,23966406,10.1128/jvi.01202-12,10.1128/JVI.01924-13,"Novel, potentially zoonotic paramyxoviruses from the African straw-coloured fruit bat (Eidolon helvum)",The human adenovirus type 5 L4 promoter is activated by cellular stress response protein p53
173,PMC3807398,PMC3554137,23903843,23152534,10.1128/jvi.01748-13,10.1128/JVI.01202-12,Herpes simplex virus 1 targets the murine olfactory neuroepithelium for host entry,"Novel, potentially zoonotic paramyxoviruses from the African straw-coloured fruit bat (Eidolon helvum)"
174,PMC3807390,PMC3807398,23903840,23903843,10.1128/jvi.00709-13,10.1128/JVI.01748-13,Glycoprotein B cleavage is important for murid herpesvirus 4 to infect myeloid cells,Herpes simplex virus 1 targets the murine olfactory neuroepithelium for host entry
175,PMC3648151,PMC3807390,23487472,23903840,10.1128/jvi.03151-12,10.1128/JVI.00709-13,Structures of the Compact Helical Core Domains of Feline Calicivirus and Murine Norovirus VPg Proteins,Glycoprotein B cleavage is important for murid herpesvirus 4 to infect myeloid cells
176,PMC3754066,PMC3648151,23785211,23487472,10.1128/jvi.00909-13,10.1128/JVI.03151-12,Acute CD8 Tcell response tat select for escape variants are needed to control live attenuted SIV,Structures of the Compact Helical Core Domains of Feline Calicivirus and Murine Norovirus VPg Proteins
177,PMC3554100,PMC3754066,23115299,23785211,10.1128/jvi.02597-12,10.1128/JVI.00909-13,Unstable Polymerase-Nucleoprotein Interaction Is Not Responsible for Avian Influenza Virus Polymerase Restriction in Human Cells,Acute CD8 Tcell response tat select for escape variants are needed to control live attenuted SIV
178,PMC3571495,PMC3554100,23236072,23115299,10.1128/jvi.02478-12,10.1128/JVI.02597-12,Estimating the Rate of Intersubtype Recombination in Early HIV-1 Group M Strains,Unstable Polymerase-Nucleoprotein Interaction Is Not Responsible for Avian Influenza Virus Polymerase Restriction in Human Cells
179,PMC3624379,PMC3571495,23388713,23236072,10.1128/jvi.02762-12,10.1128/JVI.02478-12,Genetic variability and the classification of hepatitis E virus,Estimating the Rate of Intersubtype Recombination in Early HIV-1 Group M Strains
180,PMC3520108,PMC3624379,23232717,23388713,10.1128/mbio.00495-12,10.1128/JVI.02762-12,The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans,Genetic variability and the classification of hepatitis E virus
181,PMC3518918,PMC3520108,23033475,23232717,10.1128/mbio.00317-12,10.1128/mBio.00495-12,EspZ of enteropathogenic and enterohemorrhagic E. coli regulates type III secretion system protein translocation,The Evolutionary Rewiring of Ubiquitination Targets Has Reprogrammed the Regulation of Carbon Assimilation in the Pathogenic Yeast Candida albicans
182,PMC3624257,PMC3518918,23401851,23033475,10.1128/mcb.01523-12,10.1128/mBio.00317-12,The mouse cytosine-5 RNA methyltranferase Nsun2 is a component of the chromatoid body and required for testis differentiation,EspZ of enteropathogenic and enterohemorrhagic E. coli regulates type III secretion system protein translocation
183,PMC3670620,PMC3624257,23731076,23401851,10.1037/a0032750,10.1128/MCB.01523-12,Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats,The mouse cytosine-5 RNA methyltranferase Nsun2 is a component of the chromatoid body and required for testis differentiation
184,PMC3545681,PMC3670620,23283497,23731076,10.3945/ajcn.112.037325,10.1037/a0032750,Obesity is positively associated with dehydroepiandrosterone sulfate concentrations at 7 y in Chilean children of normal birth weight.,Dissociation of recognition and recency memory judgments after anterior thalamic nuclei lessions in rats
185,PMC3652920,PMC3545681,23576045,23283497,10.3945/ajcn.112.048462,10.3945/ajcn.112.037325,DNA methylation potential: dietary intake and blood concentrations of one-carbon metabolites and cofactors in rural African women,Obesity is positively associated with dehydroepiandrosterone sulfate concentrations at 7 y in Chilean children of normal birth weight.
186,PMC3738233,PMC3652920,23468552,23576045,10.3945/jn.112.171520,10.3945/ajcn.112.048462,Genetic variants influencing biomarkers of nutrition are not associated with cognitive capability in middle-aged and older adults,DNA methylation potential: dietary intake and blood concentrations of one-carbon metabolites and cofactors in rural African women
187,PMC3462035,PMC3738233,23025831,23468552,10.1037/a0029754,10.3945/jn.112.171520,Evidence that the rat hippocampus has contrasting roles in object recognition memory and object recency memory,Genetic variants influencing biomarkers of nutrition are not associated with cognitive capability in middle-aged and older adults
188,PMC3546020,PMC3462035,23173787,23025831,10.1186/1475-2891-11-100,10.1037/a0029754,Nutritional status of young children in Mumbai slums: a follow-up anthropometric study,Evidence that the rat hippocampus has contrasting roles in object recognition memory and object recency memory
189,PMC3640928,PMC3546020,23391187,23173787,10.1186/1471-2199-14-5,10.1186/1475-2891-11-100,Multiple tandem splicing silencer elements suppress aberrant splicing within the long exon 26 of the human Apolipoprotein B gene,Nutritional status of young children in Mumbai slums: a follow-up anthropometric study
190,PMC3846689,PMC3640928,24020915,23391187,10.1186/1471-2318-13-93,10.1186/1471-2199-14-5,The physical capability of community-based mend and women from a British cohort: the European Prospective Investigation into Cancer (EPIC)-Norfolk study,Multiple tandem splicing silencer elements suppress aberrant splicing within the long exon 26 of the human Apolipoprotein B gene
191,PMC3709824,PMC3846689,23412844,24020915,10.1099/mic.0.062067-0,10.1186/1471-2318-13-93,Disruption of the serine/threonine protein kinase H affects phthiocerol dimycocerosates synthesis in Mycobacterium tuberculosis,The physical capability of community-based mend and women from a British cohort: the European Prospective Investigation into Cancer (EPIC)-Norfolk study
192,PMC3709561,PMC3709824,23242801,23412844,10.1099/mic.0.064527-0,10.1099/mic.0.062067-0,Overexpression of Escherichia coli udk mimics the absence of T7 Gp2 function and thereby abrogates successful infection by T7 phage,Disruption of the serine/threonine protein kinase H affects phthiocerol dimycocerosates synthesis in Mycobacterium tuberculosis
193,PMC3836489,PMC3709561,24014666,23242801,10.1099/mic.0.069922-0,10.1099/mic.0.064527-0,A synthetic system for expression of components of a bacterial microcompartment.,Overexpression of Escherichia coli udk mimics the absence of T7 Gp2 function and thereby abrogates successful infection by T7 phage
194,PMC3492749,PMC3836489,22282518,24014666,10.1099/mic.0.055459-0,10.1099/mic.0.069922-0,Ribosomal multilocus sequence typing: universal characterisation of bacteria from domain to strain,A synthetic system for expression of components of a bacterial microcompartment.
195,PMC3541766,PMC3492749,22977089,22282518,10.1099/mic.0.062547-0,10.1099/mic.0.055459-0,Substitutions in the Escherichia coli RNA polymerase inhibitor T7 Gp2 that allow inhibition of transcription when the primary interaction interface between Gp2 and RNA polymerase becomes compromised.,Ribosomal multilocus sequence typing: universal characterisation of bacteria from domain to strain
196,,PMC3541766,22562827,22977089,10.1044/1092-4388(2012/10-0182),10.1099/mic.0.062547-0,Developmental Trajectories of Verbal and Nonverbal Skills in Individuals with a History of Specific Language Impairment: From Childhood to Adolescence,Substitutions in the Escherichia coli RNA polymerase inhibitor T7 Gp2 that allow inhibition of transcription when the primary interaction interface between Gp2 and RNA polymerase becomes compromised.
197,PMC3826327,,23064244,22562827,10.1167/12.11.8,10.1044/1092-4388(2012/10-0182),Does optic flow parsing depend on prior estimation of heading?,Developmental Trajectories of Verbal and Nonverbal Skills in Individuals with a History of Specific Language Impairment: From Childhood to Adolescence
198,PMC3706957,PMC3826327,23885220,23064244,10.2174/1573411011309020004,10.1167/12.11.8,Ion mobility spectrometry-mass spectrometry of intrinsically unfolded proteins: trying to put order into disorder,Does optic flow parsing depend on prior estimation of heading?
199,unknown,PMC3706957,unknown,23885220,unknown,10.2174/1573411011309020004,The Therapeutic Potential of Allosteric Ligands for Free Fatty Acid Sensitive GPCRs,Ion mobility spectrometry-mass spectrometry of intrinsically unfolded proteins: trying to put order into disorder
202,PMC3654214,,23720616,24524172,10.3389/fnhum.2013.00166,,Graph network analysis of immediate motor learning,"Studying trial Communities: anthropological and historical enquiries and ethos, politics and economy of medical research in Africa."
203,PMC3590462,PMC3654214,23471456,23720616,10.3389/fnhum.2013.00065,10.3389/fnhum.2013.00166,Dysregulated but not decreased salience network activity in schizophrenia,Graph network analysis of immediate motor learning
204,PMC3747448,PMC3590462,23970860,23471456,10.3389/fnhum.2013.00462,10.3389/fnhum.2013.00065,Characterising Ageing in the Human Brainstem Using Quantitative Multimodal MRI Analysis,Dysregulated but not decreased salience network activity in schizophrenia
205,PMC3746457,PMC3747448,23966937,23970860,10.3389/fnhum.2013.00490,10.3389/fnhum.2013.00462,Self-associations influence task-performance through Bayesian inference,Characterising Ageing in the Human Brainstem Using Quantitative Multimodal MRI Analysis
206,PMC3605587,PMC3746457,23287458,23966937,10.1016/j.socscimed.2012.12.004,10.3389/fnhum.2013.00490,The anatomy of choice: active inference and agency,Self-associations influence task-performance through Bayesian inference
207,PMC4029364,PMC3605587,23023652,23287458,10.1039/c2pp25116g,10.3389/fnhum.2013.00598,Spectral effects of UV on psoriasis,The anatomy of choice: active inference and agency
208,PMC3558801,PMC4029364,21767334,23023652,10.1111/j.1365-3156.2011.02829.x,10.1039/c2pp25116g,Preparing for national school-based deworming in Kenya: the validation and large-scale distribution of school questionnaires with urinary schistosomiasis,Spectral effects of UV on psoriasis
209,PMC3775257,PMC3558801,23731253,21767334,10.1111/tmi.12135,10.1111/j.1365-3156.2011.02829.x,Disengagement from care in a decentralised primary care antiretroviral treatment programme: cohort study in rural South Africa,Preparing for national school-based deworming in Kenya: the validation and large-scale distribution of school questionnaires with urinary schistosomiasis
210,unknown,PMC3775257,unknown,23731253,unknown,10.1111/tmi.12135,Reliability and accuracy of anthropometry performed by community health workers among infants under 6 months in rural Kenya.,Disengagement from care in a decentralised primary care antiretroviral treatment programme: cohort study in rural South Africa
211,PMC3717178,PMC3963456,23107420,22364555,10.1111/tmi.12006,10.1111/j.1365-3156.2012.02959.x,Nutritional supplementation: the additional costs of managing children infected with HIVin resource-constrained settings,Reliability and accuracy of anthropometry performed by community health workers among infants under 6 months in rural Kenya.
212,PMC3437796,PMC3717178,22149328,23107420,10.1037/a0026510,10.1111/tmi.12006,The factor structure of the autobiographical memory test in recent trauma survivors,Nutritional supplementation: the additional costs of managing children infected with HIVin resource-constrained settings
213,PMC3579723,PMC3437796,23320558,22149328,10.1186/1471-2202-14-9,10.1037/a0026510,Steerable-filter based quantification of axonal populations at the developing optic chiasm reveal significant defects in Slit2(-/-) as well as Slit1(-/-)Slit2(-/-) embryos.,The factor structure of the autobiographical memory test in recent trauma survivors
214,PMC3460760,PMC3579723,22537312,23320558,10.1186/1559-0275-9-4,10.1186/1471-2202-14-9,Detection of BK virus in urine from renal transplant subjects by mass spectrometry,Steerable-filter based quantification of axonal populations at the developing optic chiasm reveal significant defects in Slit2(-/-) as well as Slit1(-/-)Slit2(-/-) embryos.
215,PMC3605375,PMC3460760,23497104,22537312,10.1186/1471-2334-13-117,10.1186/1559-0275-9-4,Endotoxaemia is common in children with Plasmodium falciparum malaria,Detection of BK virus in urine from renal transplant subjects by mass spectrometry
216,PMC3716635,PMC3605375,23834892,23497104,10.1186/1471-2334-13-307,10.1186/1471-2334-13-117,The proportions of people living with HIV in low and middle-income countries who test tuberculin skin test positive using either ....,Endotoxaemia is common in children with Plasmodium falciparum malaria
217,PMC3639180,PMC3716635,23617955,23834892,10.1186/1471-2334-13-184,10.1186/1471-2334-13-307,The receptive versus current risks of Plasmodium falciparum transmission in Northern Namibia: implications for elimination.,The proportions of people living with HIV in low and middle-income countries who test tuberculin skin test positive using either ....
218,PMC3763379,PMC3639180,24027342,23617955,10.1016/j.anbehav.2013.06.011,10.1186/1471-2334-13-184,Faecal avoidance and selective foraging: Do wild mice have the luxury to avoid faeces?,The receptive versus current risks of Plasmodium falciparum transmission in Northern Namibia: implications for elimination.
219,PMC3791410,PMC3763379,24109147,24027342,10.1016/j.anbehav.2013.06.018,10.1016/j.anbehav.2013.06.011,Metabolic rate and body size are linked with perception of temporal information,Faecal avoidance and selective foraging: Do wild mice have the luxury to avoid faeces?
220,PMC3726342,PMC3791410,23879797,24109147,10.1186/1471-2180-13-170,10.1016/j.anbehav.2013.06.018,Sub-inhibitory concentrations of some antibiotics drive diversification of Pseudomonas aeruginosa populations in artificial sputum medium,Metabolic rate and body size are linked with perception of temporal information
221,PMC3542733,PMC3726342,22513389,23879797,10.1099/vir.0.042390-0,10.1186/1471-2180-13-170,The small genome segment of Bunyamwera orthobunyavirus harbours a single transcription-termination signal,Sub-inhibitory concentrations of some antibiotics drive diversification of Pseudomonas aeruginosa populations in artificial sputum medium
